"Destination","Year","Total","Latitude","Longitude","code"
"Luxembourg",2009,13,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2009,71,41.608635,21.745275,"MKD"
"Netherlands",2009,1281,52.132633,5.291266,"NLD"
"New Zealand",2009,1,-40.900557,174.885971,"NZL"
"Norway",2009,3802,60.472024,8.468946,"NOR"
"Poland",2009,14,51.919438,19.145136,"POL"
"Romania",2009,87,45.943161,24.96676,"ROU"
"Serbia",2009,235,44.016521,21.005859,"SRB"
"Slovakia",2009,51,48.669026,19.699024,"SVK"
"Slovenia",2009,11,46.151241,14.995463,"SVN"
"South Korea",2009,8,35.907757,127.766922,"KOR"
"Spain",2009,43,40.463667,-3.74922,"ESP"
"Sweden",2009,1694,60.128161,18.643501,"SWE"
"Switzerland",2009,719,46.818188,8.227512,"CHE"
"Turkey",2009,1009,38.963745,35.243322,"TUR"
"United Kingdom",2009,3533,55.378051,-3.435973,"GBR"
"United States",2009,130,37.09024,-95.712891,"USA"
"Australia",2010,3129,-25.274398,133.775136,"AUS"
"Austria",2010,1582,47.516231,14.550072,"AUT"
"Belgium",2010,1124,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2010,11,43.915886,17.679076,"BIH"
"Bulgaria",2010,58,42.733883,25.48583,"BGR"
"Canada",2010,392,56.130366,-106.346771,"CAN"
"Croatia",2010,107,45.1,15.2,"HRV"
"Cyprus",2010,41,35.126413,33.429859,"CYP"
"Czech Republic",2010,6,49.817492,15.472962,"CZE"
"Denmark",2010,1476,56.26392,9.501785,"DNK"
"Estonia",2010,9,58.595272,25.013607,"EST"
"Finland",2010,265,61.92411,25.748151,"FIN"
"France",2010,770,46.227638,2.213749,"FRA"
"Germany",2010,5905,51.165691,10.451526,"DEU"
"Greece",2010,524,39.074208,21.824312,"GRC"
"Hungary",2010,796,47.162494,19.503304,"HUN"
"Iceland",2010,7,64.963051,-19.020835,"ISL"
"Ireland",2010,69,53.41291,-8.24389,"IRL"
"Italy",2010,873,41.87194,12.56738,"ITA"
"Japan",2010,1,36.204824,138.252924,"JPN"
"Latvia",2010,23,56.879635,24.603189,"LVA"
"Lithuania",2010,26,55.169438,23.881275,"LTU"
"Luxembourg",2010,12,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2010,71,41.608635,21.745275,"MKD"
"Netherlands",2010,1364,52.132633,5.291266,"NLD"
"New Zealand",2010,4,-40.900557,174.885971,"NZL"
"Norway",2010,930,60.472024,8.468946,"NOR"
"Poland",2010,25,51.919438,19.145136,"POL"
"Portugal",2010,2,39.399872,-8.224454,"PRT"
"Romania",2010,120,45.943161,24.96676,"ROU"
"Serbia",2010,425,44.016521,21.005859,"SRB"
"Slovakia",2010,76,48.669026,19.699024,"SVK"
"Slovenia",2010,23,46.151241,14.995463,"SVN"
"South Korea",2010,15,35.907757,127.766922,"KOR"
"Spain",2010,41,40.463667,-3.74922,"ESP"
"Sweden",2010,2397,60.128161,18.643501,"SWE"
"Switzerland",2010,632,46.818188,8.227512,"CHE"
"Turkey",2010,1248,38.963745,35.243322,"TUR"
"United Kingdom",2010,1835,55.378051,-3.435973,"GBR"
"United States",2010,156,37.09024,-95.712891,"USA"
"Australia",2011,1719,-25.274398,133.775136,"AUS"
"Austria",2011,3623,47.516231,14.550072,"AUT"
"Belgium",2011,2773,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2011,2,43.915886,17.679076,"BIH"
"Bulgaria",2011,80,42.733883,25.48583,"BGR"
"Canada",2011,397,56.130366,-106.346771,"CAN"
"Croatia",2011,487,45.1,15.2,"HRV"
"Cyprus",2011,16,35.126413,33.429859,"CYP"
"Czech Republic",2011,25,49.817492,15.472962,"CZE"
"Denmark",2011,903,56.26392,9.501785,"DNK"
"Estonia",2011,8,58.595272,25.013607,"EST"
"Finland",2011,292,61.92411,25.748151,"FIN"
"France",2011,651,46.227638,2.213749,"FRA"
"Germany",2011,7767,51.165691,10.451526,"DEU"
"Greece",2011,637,39.074208,21.824312,"GRC"
"Hungary",2011,649,47.162494,19.503304,"HUN"
"Iceland",2011,3,64.963051,-19.020835,"ISL"
"Ireland",2011,67,53.41291,-8.24389,"IRL"
"Italy",2011,1429,41.87194,12.56738,"ITA"
"Japan",2011,4,36.204824,138.252924,"JPN"
"Latvia",2011,3,56.879635,24.603189,"LVA"
"Liechtenstein",2011,3,47.166,9.555373,"LIE"
"Lithuania",2011,45,55.169438,23.881275,"LTU"
"Luxembourg",2011,21,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2011,427,41.608635,21.745275,"MKD"
"Montenegro",2011,8,42.708678,19.37439,"MNE"
"Netherlands",2011,1885,52.132633,5.291266,"NLD"
"New Zealand",2011,11,-40.900557,174.885971,"NZL"
"Norway",2011,948,60.472024,8.468946,"NOR"
"Poland",2011,33,51.919438,19.145136,"POL"
"Portugal",2011,4,39.399872,-8.224454,"PRT"
"Romania",2011,107,45.943161,24.96676,"ROU"
"Serbia",2011,1757,44.016521,21.005859,"SRB"
"Slovakia",2011,65,48.669026,19.699024,"SVK"
"Slovenia",2011,57,46.151241,14.995463,"SVN"
"South Korea",2011,60,35.907757,127.766922,"KOR"
"Spain",2011,30,40.463667,-3.74922,"ESP"
"Sweden",2011,4120,60.128161,18.643501,"SWE"
"Switzerland",2011,1006,46.818188,8.227512,"CHE"
"Turkey",2011,2486,38.963745,35.243322,"TUR"
"United Kingdom",2011,1529,55.378051,-3.435973,"GBR"
"United States",2011,219,37.09024,-95.712891,"USA"
"Albania",2012,1,41.153332,20.168331,"ALB"
"Australia",2012,3064,-25.274398,133.775136,"AUS"
"Austria",2012,4003,47.516231,14.550072,"AUT"
"Belgium",2012,2349,50.503887,4.469936,"BEL"
"Bulgaria",2012,95,42.733883,25.48583,"BGR"
"Canada",2012,362,56.130366,-106.346771,"CAN"
"Croatia",2012,365,45.1,15.2,"HRV"
"Cyprus",2012,51,35.126413,33.429859,"CYP"
"Czech Republic",2012,10,49.817492,15.472962,"CZE"
"Denmark",2012,576,56.26392,9.501785,"DNK"
"Estonia",2012,3,58.595272,25.013607,"EST"
"Finland",2012,188,61.92411,25.748151,"FIN"
"France",2012,522,46.227638,2.213749,"FRA"
"Germany",2012,7498,51.165691,10.451526,"DEU"
"Greece",2012,584,39.074208,21.824312,"GRC"
"Hungary",2012,880,47.162494,19.503304,"HUN"
"Iceland",2012,9,64.963051,-19.020835,"ISL"
"Ireland",2012,31,53.41291,-8.24389,"IRL"
"Italy",2012,1495,41.87194,12.56738,"ITA"
"Japan",2012,4,36.204824,138.252924,"JPN"
"Latvia",2012,4,56.879635,24.603189,"LVA"
"Liechtenstein",2012,3,47.166,9.555373,"LIE"
"Lithuania",2012,73,55.169438,23.881275,"LTU"
"Luxembourg",2012,11,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2012,243,41.608635,21.745275,"MKD"
"Montenegro",2012,119,42.708678,19.37439,"MNE"
"Netherlands",2012,1022,52.132633,5.291266,"NLD"
"New Zealand",2012,9,-40.900557,174.885971,"NZL"
"Norway",2012,987,60.472024,8.468946,"NOR"
"Poland",2012,88,51.919438,19.145136,"POL"
"Portugal",2012,5,39.399872,-8.224454,"PRT"
"Romania",2012,200,45.943161,24.96676,"ROU"
"Serbia",2012,815,44.016521,21.005859,"SRB"
"Slovakia",2012,63,48.669026,19.699024,"SVK"
"Slovenia",2012,50,46.151241,14.995463,"SVN"
"South Korea",2012,4,35.907757,127.766922,"KOR"
"Spain",2012,46,40.463667,-3.74922,"ESP"
"Sweden",2012,4755,60.128161,18.643501,"SWE"
"Switzerland",2012,1349,46.818188,8.227512,"CHE"
"Turkey",2012,14146,38.963745,35.243322,"TUR"
"United Kingdom",2012,1234,55.378051,-3.435973,"GBR"
"United States",2012,204,37.09024,-95.712891,"USA"
"Australia",2013,370,-25.274398,133.775136,"AUS"
"Austria",2013,2589,47.516231,14.550072,"AUT"
"Belgium",2013,892,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2013,6,43.915886,17.679076,"BIH"
"Bulgaria",2013,304,42.733883,25.48583,"BGR"
"Canada",2013,386,56.130366,-106.346771,"CAN"
"Croatia",2013,185,45.1,15.2,"HRV"
"Cyprus",2013,6,35.126413,33.429859,"CYP"
"Czech Republic",2013,8,49.817492,15.472962,"CZE"
"Denmark",2013,425,56.26392,9.501785,"DNK"
"Estonia",2013,1,58.595272,25.013607,"EST"
"Finland",2013,172,61.92411,25.748151,"FIN"
"France",2013,526,46.227638,2.213749,"FRA"
"Germany",2013,7735,51.165691,10.451526,"DEU"
"Greece",2013,1223,39.074208,21.824312,"GRC"
"Hungary",2013,2279,47.162494,19.503304,"HUN"
"Iceland",2013,4,64.963051,-19.020835,"ISL"
"Ireland",2013,32,53.41291,-8.24389,"IRL"
"Italy",2013,2049,41.87194,12.56738,"ITA"
"Japan",2013,3,36.204824,138.252924,"JPN"
"Liechtenstein",2013,1,47.166,9.555373,"LIE"
"Lithuania",2013,45,55.169438,23.881275,"LTU"
"Luxembourg",2013,17,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2013,262,41.608635,21.745275,"MKD"
"Montenegro",2013,186,42.708678,19.37439,"MNE"
"Netherlands",2013,673,52.132633,5.291266,"NLD"
"New Zealand",2013,7,-40.900557,174.885971,"NZL"
"Norway",2013,720,60.472024,8.468946,"NOR"
"Poland",2013,43,51.919438,19.145136,"POL"
"Portugal",2013,2,39.399872,-8.224454,"PRT"
"Romania",2013,39,45.943161,24.96676,"ROU"
"Serbia",2013,492,44.016521,21.005859,"SRB"
"Slovakia",2013,84,48.669026,19.699024,"SVK"
"Slovenia",2013,14,46.151241,14.995463,"SVN"
"South Korea",2013,27,35.907757,127.766922,"KOR"
"Spain",2013,66,40.463667,-3.74922,"ESP"
"Sweden",2013,3011,60.128161,18.643501,"SWE"
"Switzerland",2013,863,46.818188,8.227512,"CHE"
"Turkey",2013,8726,38.963745,35.243322,"TUR"
"United Kingdom",2013,1456,55.378051,-3.435973,"GBR"
"United States",2013,186,37.09024,-95.712891,"USA"
"Australia",2014,127,-25.274398,133.775136,"AUS"
"Austria",2014,4916,47.516231,14.550072,"AUT"
"Belgium",2014,744,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2014,10,43.915886,17.679076,"BIH"
"Bulgaria",2014,2949,42.733883,25.48583,"BGR"
"Canada",2014,461,56.130366,-106.346771,"CAN"
"Croatia",2014,18,45.1,15.2,"HRV"
"Cyprus",2014,1,35.126413,33.429859,"CYP"
"Czech Republic",2014,13,49.817492,15.472962,"CZE"
"Denmark",2014,321,56.26392,9.501785,"DNK"
"Finland",2014,198,61.92411,25.748151,"FIN"
"France",2014,605,46.227638,2.213749,"FRA"
"Germany",2014,9115,51.165691,10.451526,"DEU"
"Greece",2014,1711,39.074208,21.824312,"GRC"
"Hungary",2014,8539,47.162494,19.503304,"HUN"
"Ireland",2014,25,53.41291,-8.24389,"IRL"
"Italy",2014,3104,41.87194,12.56738,"ITA"
"Japan",2014,26,36.204824,138.252924,"JPN"
"Latvia",2014,13,56.879635,24.603189,"LVA"
"Liechtenstein",2014,1,47.166,9.555373,"LIE"
"Lithuania",2014,70,55.169438,23.881275,"LTU"
"Luxembourg",2014,9,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2014,389,41.608635,21.745275,"MKD"
"Montenegro",2014,12,42.708678,19.37439,"MNE"
"Netherlands",2014,452,52.132633,5.291266,"NLD"
"New Zealand",2014,9,-40.900557,174.885971,"NZL"
"Norway",2014,549,60.472024,8.468946,"NOR"
"Poland",2014,31,51.919438,19.145136,"POL"
"Portugal",2014,2,39.399872,-8.224454,"PRT"
"Romania",2014,277,45.943161,24.96676,"ROU"
"Serbia",2014,3017,44.016521,21.005859,"SRB"
"Slovakia",2014,76,48.669026,19.699024,"SVK"
"Slovenia",2014,71,46.151241,14.995463,"SVN"
"South Korea",2014,21,35.907757,127.766922,"KOR"
"Spain",2014,98,40.463667,-3.74922,"ESP"
"Sweden",2014,2882,60.128161,18.643501,"SWE"
"Switzerland",2014,727,46.818188,8.227512,"CHE"
"Turkey",2014,15652,38.963745,35.243322,"TUR"
"United Kingdom",2014,1753,55.378051,-3.435973,"GBR"
"United States",2014,277,37.09024,-95.712891,"USA"
"Albania",2015,3,41.153332,20.168331,"ALB"
"Australia",2015,569,-25.274398,133.775136,"AUS"
"Austria",2015,25143,47.516231,14.550072,"AUT"
"Belgium",2015,7562,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2015,6,43.915886,17.679076,"BIH"
"Bulgaria",2015,6163,42.733883,25.48583,"BGR"
"Canada",2015,494,56.130366,-106.346771,"CAN"
"Croatia",2015,9,45.1,15.2,"HRV"
"Cyprus",2015,10,35.126413,33.429859,"CYP"
"Czech Republic",2015,24,49.817492,15.472962,"CZE"
"Denmark",2015,2288,56.26392,9.501785,"DNK"
"Estonia",2015,12,58.595272,25.013607,"EST"
"Finland",2015,5198,61.92411,25.748151,"FIN"
"France",2015,2453,46.227638,2.213749,"FRA"
"Germany",2015,31382,51.165691,10.451526,"DEU"
"Greece",2015,1544,39.074208,21.824312,"GRC"
"Hungary",2015,45560,47.162494,19.503304,"HUN"
"Iceland",2015,22,64.963051,-19.020835,"ISL"
"Ireland",2015,124,53.41291,-8.24389,"IRL"
"Italy",2015,3986,41.87194,12.56738,"ITA"
"Japan",2015,13,36.204824,138.252924,"JPN"
"Latvia",2015,34,56.879635,24.603189,"LVA"
"Liechtenstein",2015,8,47.166,9.555373,"LIE"
"Lithuania",2015,31,55.169438,23.881275,"LTU"
"Luxembourg",2015,215,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2015,358,41.608635,21.745275,"MKD"
"Montenegro",2015,4,42.708678,19.37439,"MNE"
"Netherlands",2015,2550,52.132633,5.291266,"NLD"
"New Zealand",2015,12,-40.900557,174.885971,"NZL"
"Norway",2015,6916,60.472024,8.468946,"NOR"
"Poland",2015,15,51.919438,19.145136,"POL"
"Portugal",2015,4,39.399872,-8.224454,"PRT"
"Romania",2015,96,45.943161,24.96676,"ROU"
"Serbia",2015,40,44.016521,21.005859,"SRB"
"Slovakia",2015,27,48.669026,19.699024,"SVK"
"Slovenia",2015,47,46.151241,14.995463,"SVN"
"South Korea",2015,14,35.907757,127.766922,"KOR"
"Spain",2015,38,40.463667,-3.74922,"ESP"
"Sweden",2015,41281,60.128161,18.643501,"SWE"
"Switzerland",2015,7800,46.818188,8.227512,"CHE"
"Turkey",2015,63292,38.963745,35.243322,"TUR"
"United Kingdom",2015,2852,55.378051,-3.435973,"GBR"
"United States",2015,319,37.09024,-95.712891,"USA"
"Albania",2016,64,41.153332,20.168331,"ALB"
"Australia",2016,2562,-25.274398,133.775136,"AUS"
"Austria",2016,11506,47.516231,14.550072,"AUT"
"Belgium",2016,2227,50.503887,4.469936,"BEL"
"Bulgaria",2016,8613,42.733883,25.48583,"BGR"
"Canada",2016,638,56.130366,-106.346771,"CAN"
"Croatia",2016,588,45.1,15.2,"HRV"
"Czech Republic",2016,28,49.817492,15.472962,"CZE"
"Denmark",2016,1122,56.26392,9.501785,"DNK"
"Finland",2016,697,61.92411,25.748151,"FIN"
"France",2016,5466,46.227638,2.213749,"FRA"
"Germany",2016,127011,51.165691,10.451526,"DEU"
"Greece",2016,524,39.074208,21.824312,"GRC"
"Hungary",2016,10772,47.162494,19.503304,"HUN"
"Iceland",2016,7,64.963051,-19.020835,"ISL"
"Ireland",2016,117,53.41291,-8.24389,"IRL"
"Italy",2016,2843,41.87194,12.56738,"ITA"
"Latvia",2016,35,56.879635,24.603189,"LVA"
"Lithuania",2016,25,55.169438,23.881275,"LTU"
"Luxembourg",2016,41,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2016,163,41.608635,21.745275,"MKD"
"Malta",2016,6,35.937496,14.375416,"MLT"
"Montenegro",2016,50,42.708678,19.37439,"MNE"
"Netherlands",2016,1045,52.132633,5.291266,"NLD"
"Norway",2016,373,60.472024,8.468946,"NOR"
"Portugal",2016,10,39.399872,-8.224454,"PRT"
"Romania",2016,39,45.943161,24.96676,"ROU"
"Serbia",2016,405,44.016521,21.005859,"SRB"
"Slovenia",2016,405,46.151241,14.995463,"SVN"
"South Korea",2016,5,35.907757,127.766922,"KOR"
"Spain",2016,53,40.463667,-3.74922,"ESP"
"Sweden",2016,2144,60.128161,18.643501,"SWE"
"Switzerland",2016,3183,46.818188,8.227512,"CHE"
"Turkey",2016,34669,38.963745,35.243322,"TUR"
"United Kingdom",2016,3099,55.378051,-3.435973,"GBR"
"United States",2016,285,37.09024,-95.712891,"USA"
"Albania",2017,21,41.153332,20.168331,"ALB"
"Australia",2017,1002,-25.274398,133.775136,"AUS"
"Austria",2017,1546,47.516231,14.550072,"AUT"
"Belgium",2017,420,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2017,5,43.915886,17.679076,"BIH"
"Bulgaria",2017,691,42.733883,25.48583,"BGR"
"Canada",2017,250,56.130366,-106.346771,"CAN"
"Croatia",2017,88,45.1,15.2,"HRV"
"Denmark",2017,72,56.26392,9.501785,"DNK"
"France",2017,2602,46.227638,2.213749,"FRA"
"Germany",2017,7426,51.165691,10.451526,"DEU"
"Hungary",2017,359,47.162494,19.503304,"HUN"
"Ireland",2017,11,53.41291,-8.24389,"IRL"
"Italy",2017,384,41.87194,12.56738,"ITA"
"Lithuania",2017,5,55.169438,23.881275,"LTU"
"Macedonia [FYROM]",2017,7,41.608635,21.745275,"MKD"
"Montenegro",2017,17,42.708678,19.37439,"MNE"
"Netherlands",2017,162,52.132633,5.291266,"NLD"
"Norway",2017,45,60.472024,8.468946,"NOR"
"Poland",2017,5,51.919438,19.145136,"POL"
"Romania",2017,77,45.943161,24.96676,"ROU"
"Serbia",2017,63,44.016521,21.005859,"SRB"
"Slovakia",2017,11,48.669026,19.699024,"SVK"
"Slovenia",2017,175,46.151241,14.995463,"SVN"
"Spain",2017,43,40.463667,-3.74922,"ESP"
"Sweden",2017,596,60.128161,18.643501,"SWE"
"Switzerland",2017,455,46.818188,8.227512,"CHE"
"Turkey",2017,18872,38.963745,35.243322,"TUR"
"United Kingdom",2017,425,55.378051,-3.435973,"GBR"
"United States",2017,77,37.09024,-95.712891,"USA"
